9.049,0.000,0.000,0.000,0.000,153,202,151,152,152.500,0.000,0,20000.000,50.000,401.710,0.000,0.729,13.725,1,0,50.000
9.055,0.000,0.000,0.000,0.000,156,198,151,153,154.500,0.000,0,20000.000,50.000,400.283,0.000,0.721,13.692,1,0,50.000
9.052,0.000,0.000,0.000,0.000,157,201,150,153,155.000,0.000,0,20000.000,50.000,401.160,0.000,0.720,13.712,1,0,50.000
9.058,0.000,0.000,0.000,0.000,158,198,150,154,156.000,0.000,0,20000.000,50.000,400.282,0.000,0.724,13.711,1,0,50.000
9.062,0.000,0.000,0.000,0.000,161,199,150,152,156.500,0.000,0,20000.000,50.000,400.282,0.000,0.719,13.716,1,0,50.000
9.058,0.000,0.000,0.000,0.000,158,200,151,152,155.000,14.298,0,20000.000,50.000,401.194,0.000,0.724,13.703,1,0,50.000
9.055,0.000,0.000,0.000,0.000,156,202,151,152,154.000,14.304,0,20000.000,50.000,400.273,0.000,0.751,13.697,1,0,50.000
9.055,0.000,0.000,0.000,0.000,158,206,151,153,155.500,0.000,0,20000.000,50.000,401.678,0.000,0.727,13.723,1,0,50.000
9.065,0.000,0.000,0.000,0.000,163,204,150,154,158.500,0.000,0,20000.000,50.000,401.678,0.000,0.720,13.708,1,0,50.000
9.052,0.000,0.000,0.000,0.000,164,205,152,153,158.500,0.000,0,20000.000,50.000,400.281,0.000,0.719,13.708,1,0,50.000
9.055,0.000,0.000,0.000,0.000,161,199,151,153,157.000,0.000,0,20000.000,50.000,401.161,0.000,0.720,13.740,1,0,50.000
9.052,0.000,0.000,0.000,0.000,163,199,153,153,158.000,0.000,0,20000.000,50.000,400.280,0.000,0.719,13.751,1,0,50.000
9.055,0.000,0.000,0.000,0.000,161,199,152,153,157.000,0.000,0,20000.000,50.000,400.280,0.000,0.722,13.770,1,0,50.000
9.049,0.000,0.000,0.000,0.000,170,199,148,153,161.500,0.000,0,20000.000,50.000,401.227,0.000,0.742,13.714,1,0,50.000
9.052,0.000,0.000,0.000,0.000,172,202,151,152,162.000,0.000,0,20000.000,50.000,401.679,0.000,0.721,13.703,1,0,50.000
9.058,0.000,0.000,0.000,0.000,177,203,155,153,166.000,0.000,0,20000.000,50.000,400.293,0.000,0.718,13.717,1,0,50.000
9.052,0.000,0.000,0.000,0.000,174,203,172,152,173.000,0.000,0,20000.000,50.000,400.293,0.000,0.719,13.718,1,0,50.000
9.052,0.000,0.000,0.000,0.000,184,202,172,152,178.000,0.000,0,20000.000,50.000,401.160,0.000,0.718,13.716,1,0,50.000
9.052,0.000,0.000,0.000,0.000,184,203,173,152,178.500,0.000,0,20000.000,50.000,400.287,0.000,0.719,13.719,1,0,50.000
9.058,0.000,0.000,0.000,0.000,184,202,174,151,179.000,-14.275,0,20000.000,50.000,401.204,0.000,0.720,13.765,1,0,50.000
9.065,0.000,0.000,0.000,0.000,186,201,174,152,180.000,0.000,0,20000.000,50.000,401.204,0.000,0.754,13.734,1,0,50.000
9.055,0.000,0.000,0.000,0.000,185,199,174,152,179.500,0.000,0,20000.000,50.000,400.276,0.000,0.721,13.786,1,0,50.000
