0.300, 0.585, 0.300, 0.562, 0.300, 0.591, 0.300, 0.573
0.260, 0.550, 0.260, 0.510, 0.260, 0.533, 0.260, 0.539
0.221, 0.516, 0.221, 0.493, 0.221, 0.510, 0.221, 0.510
0.181, 0.464, 0.181, 0.447, 0.181, 0.476, 0.181, 0.470
0.141, 0.447, 0.141, 0.418, 0.141, 0.424, 0.141, 0.430
0.101, 0.413, 0.101, 0.390, 0.101, 0.401, 0.101, 0.413
0.061, 0.373, 0.061, 0.350, 0.061, 0.390, 0.061, 0.367
0.021, 0.344, 0.021, 0.298, 0.021, 0.321, 0.021, 0.327
-0.018, 0.315, -0.018, 0.298, -0.018, 0.292, -0.018, 0.309
-0.058, 0.269, -0.058, 0.252, -0.058, 0.263, -0.058, 0.252
-0.098, 0.229, -0.098, 0.218, -0.098, 0.229, -0.098, 0.235
-0.138, 0.212, -0.138, 0.183, -0.138, 0.183, -0.138, 0.189
-0.178, 0.160, -0.178, 0.149, -0.178, 0.137, -0.178, 0.160
-0.217, 0.126, -0.217, 0.114, -0.217, 0.126, -0.217, 0.126
-0.257, 0.103, -0.257, 0.103, -0.257, 0.091, -0.257, 0.091
-0.297, 0.068, -0.297, 0.103, -0.297, 0.028, -0.297, 0.057
-0.336, 0.034, -0.336, 0.086, -0.336, 0.000, -0.336, 0.051
-0.376, 0.005, -0.376, 0.091, -0.376, 0.017, -0.376, 0.034
-0.415, 0.000, -0.415, -0.045, -0.415, 0.005, -0.415, 0.034
-0.454, 0.011, -0.454, 0.114, -0.454, 0.005, -0.454, 0.034
-0.493, 0.005, -0.493, -0.057, -0.493, 0.000, -0.493, -0.051
-0.531, -0.051, -0.531, -0.045, -0.531, 0.005, -0.531, -0.040
-0.570, -0.057, -0.570, -0.045, -0.570, 0.000, -0.570, -0.028
-0.608, -0.063, -0.608, -0.068, -0.608, -0.011, -0.608, -0.028
-0.646, -0.051, -0.646, -0.103, -0.646, -0.011, -0.646, -0.051
-0.684, -0.109, -0.684, -0.137, -0.684, -0.005, -0.684, -0.103
-0.721, -0.126, -0.721, -0.200, -0.721, -0.080, -0.721, -0.126
-0.758, -0.183, -0.758, -0.241, -0.758, -0.126, -0.758, -0.206
-0.795, -0.206, -0.795, -0.263, -0.795, -0.166, -0.795, -0.218
-0.832, -0.275, -0.832, -0.304, -0.832, -0.229, -0.832, -0.275
-0.868, -0.309, -0.868, -0.367, -0.868, -0.263, -0.868, -0.327
-0.904, -0.344, -0.904, -0.407, -0.904, -0.292, -0.904, -0.344
-0.939, -0.401, -0.939, -0.447, -0.939, -0.367, -0.939, -0.418
-0.974, -0.418, -0.974, -0.482, -0.974, -0.390, -0.974, -0.436
-1.009, -0.487, -1.009, -0.527, -1.009, -0.470, -1.009, -0.516
-1.044, -0.505, -1.044, -0.568, -1.044, -0.464, -1.044, -0.505
-1.077, -0.573, -1.077, -0.614, -1.077, -0.510, -1.077, -0.579
-1.111, -0.585, -1.111, -0.659, -1.111, -0.579, -1.111, -0.608
-1.144, -0.636, -1.144, -0.688, -1.144, -0.619, -1.144, -0.648
-1.177, -0.671, -1.177, -0.734, -1.177, -0.665, -1.177, -0.700
-1.209, -0.723, -1.209, -0.768, -1.209, -0.700, -1.209, -0.723
-1.240, -0.757, -1.240, -0.826, -1.240, -0.700, -1.240, -0.763
-1.271, -0.734, -1.271, -0.837, -1.271, -0.797, -1.271, -0.814
-1.302, -0.878, -1.302, -0.889, -1.302, -0.803, -1.302, -0.849
-1.332, -0.855, -1.332, -0.918, -1.332, -0.843, -1.332, -0.872
-1.362, -0.912, -1.362, -0.964, -1.362, -0.918, -1.362, -0.906
-1.391, -0.929, -1.391, -0.987, -1.391, -0.889, -1.391, -0.946
-1.419, -0.975, -1.419, -1.032, -1.419, -0.987, -1.419, -0.941
-1.447, -1.015, -1.447, -1.067, -1.447, -1.021, -1.447, -1.055
-1.474, -1.044, -1.474, -1.107, -1.474, -1.004, -1.474, -1.067
-1.501, -1.078, -1.501, -1.124, -1.501, -1.044, -1.501, -1.101
-1.527, -1.101, -1.527, -1.142, -1.527, -1.147, -1.527, -1.119
-1.553, -1.136, -1.553, -1.210, -1.553, -1.124, -1.553, -1.147
-1.578, -1.170, -1.578, -1.228, -1.578, -1.182, -1.578, -1.182
-1.602, -1.210, -1.602, -1.256, -1.602, -1.187, -1.602, -1.228
-1.625, -1.228, -1.625, -1.285, -1.625, -1.273, -1.625, -1.216
-1.648, -1.262, -1.648, -1.319, -1.648, -1.262, -1.648, -1.285
-1.671, -1.308, -1.671, -1.325, -1.671, -1.302, -1.671, -1.331
-1.692, -1.319, -1.692, -1.388, -1.692, -1.285, -1.692, -1.314
-1.713, -1.314, -1.713, -1.469, -1.713, -1.354, -1.713, -1.371
-1.734, -1.388, -1.734, -1.365, -1.734, -1.394, -1.734, -1.417
-1.753, -1.400, -1.753, -1.469, -1.753, -1.377, -1.753, -1.400
-1.772, -1.428, -1.772, -1.469, -1.772, -1.446, -1.772, -1.440
-1.790, -1.469, -1.790, -1.509, -1.790, -1.503, -1.790, -1.469
-1.808, -1.474, -1.808, -1.526, -1.808, -1.503, -1.808, -1.492
-1.824, -1.497, -1.824, -1.549, -1.824, -1.405, -1.824, -1.537
-1.840, -1.526, -1.840, -1.566, -1.840, -1.572, -1.840, -1.480
-1.856, -1.537, -1.856, -1.595, -1.856, -1.549, -1.856, -1.572
-1.870, -1.555, -1.870, -1.606, -1.870, -1.572, -1.870, -1.595
-1.884, -1.601, -1.884, -1.629, -1.884, -1.601, -1.884, -1.583
-1.897, -1.618, -1.897, -1.652, -1.897, -1.641, -1.897, -1.652
-1.909, -1.515, -1.909, -1.687, -1.909, -1.675, -1.909, -1.618
-1.921, -1.727, -1.921, -1.652, -1.921, -1.549, -1.921, -1.681
-1.931, -1.664, -1.931, -1.710, -1.931, -1.664, -1.931, -1.698
-1.941, -1.664, -1.941, -1.721, -1.941, -1.698, -1.941, -1.698
-1.951, -1.698, -1.951, -1.733, -1.951, -1.710, -1.951, -1.698
-1.959, -1.744, -1.959, -1.801, -1.959, -1.733, -1.959, -1.744
-1.967, -1.727, -1.967, -1.733, -1.967, -1.801, -1.967, -1.698
-1.973, -1.756, -1.973, -1.778, -1.973, -1.715, -1.973, -1.790
-1.979, -1.738, -1.979, -1.790, -1.979, -1.733, -1.979, -1.738
-1.985, -1.767, -1.985, -1.796, -1.985, -1.784, -1.985, -1.813
-1.989, -1.813, -1.989, -1.824, -1.989, -1.813, -1.989, -1.778
-1.993, -1.807, -1.993, -1.813, -1.993, -1.790, -1.993, -1.813
-1.996, -1.790, -1.996, -1.836, -1.996, -1.733, -1.996, -1.801
-1.998, -1.819, -1.998, -1.842, -1.998, -1.847, -1.998, -1.870
-1.999, -1.813, -1.999, -1.836, -1.999, -1.847, -1.999, -1.790
-1.999, -1.813, -1.999, -1.870, -1.999, -1.859, -1.999, -1.859
-1.999, -1.870, -1.999, -1.870, -1.999, -1.807, -1.999, -1.842
-1.998, -1.847, -1.998, -1.842, -1.998, -1.865, -1.998, -1.865
-1.996, -1.836, -1.996, -1.899, -1.996, -1.807, -1.996, -1.882
-1.993, -1.853, -1.993, -1.876, -1.993, -1.893, -1.993, -1.847
-1.990, -1.865, -1.990, -1.882, -1.990, -1.882, -1.990, -1.876
-1.985, -1.882, -1.985, -1.882, -1.985, -1.905, -1.985, -1.756
-1.980, -1.876, -1.980, -1.882, -1.980, -1.888, -1.980, -1.928
-1.974, -1.853, -1.974, -1.899, -1.974, -1.767, -1.974, -1.870
-1.968, -1.842, -1.968, -1.882, -1.968, -1.928, -1.968, -1.882
-1.960, -1.876, -1.960, -1.882, -1.960, -1.882, -1.960, -1.870
-1.952, -1.888, -1.952, -1.888, -1.952, -1.870, -1.952, -1.876
-1.943, -1.870, -1.943, -1.905, -1.943, -1.836, -1.943, -1.893
-1.933, -1.859, -1.933, -1.870, -1.933, -1.790, -1.933, -1.836
-1.922, -1.876, -1.922, -1.876, -1.922, -1.951, -1.922, -1.836
-1.911, -1.853, -1.911, -1.870, -1.911, -1.859, -1.911, -1.905
-1.899, -1.836, -1.899, -1.865, -1.899, -1.756, -1.899, -1.847
-1.886, -1.882, -1.886, -1.859, -1.886, -1.928, -1.886, -1.870
-1.872, -1.847, -1.872, -1.870, -1.872, -1.916, -1.872, -1.836
-1.858, -1.842, -1.858, -1.824, -1.858, -1.824, -1.858, -1.870
-1.843, -1.836, -1.843, -1.865, -1.843, -1.767, -1.843, -1.847
-1.827, -1.824, -1.827, -1.824, -1.827, -1.870, -1.827, -1.761
-1.810, -1.796, -1.810, -1.819, -1.810, -1.807, -1.810, -1.870
-1.793, -1.807, -1.793, -1.819, -1.793, -1.807, -1.793, -1.790
-1.775, -1.796, -1.775, -1.790, -1.775, -1.813, -1.775, -1.801
-1.756, -1.796, -1.756, -1.790, -1.756, -1.801, -1.756, -1.790
-1.737, -1.778, -1.737, -1.784, -1.737, -1.778, -1.737, -1.756
-1.717, -1.761, -1.717, -1.767, -1.717, -1.710, -1.717, -1.767
-1.696, -1.721, -1.696, -1.744, -1.696, -1.744, -1.696, -1.790
-1.674, -1.750, -1.674, -1.733, -1.674, -1.756, -1.674, -1.733
-1.652, -1.704, -1.652, -1.744, -1.652, -1.698, -1.652, -1.687
-1.629, -1.698, -1.629, -1.698, -1.629, -1.698, -1.629, -1.721
-1.606, -1.681, -1.606, -1.675, -1.606, -1.698, -1.606, -1.675
-1.581, -1.692, -1.581, -1.658, -1.581, -1.664, -1.581, -1.664
-1.557, -1.658, -1.557, -1.664, -1.557, -1.687, -1.557, -1.658
-1.531, -1.635, -1.531, -1.629, -1.531, -1.583, -1.531, -1.641
-1.505, -1.618, -1.505, -1.606, -1.505, -1.664, -1.505, -1.652
-1.479, -1.583, -1.479, -1.595, -1.479, -1.549, -1.479, -1.537
-1.451, -1.560, -1.451, -1.572, -1.451, -1.572, -1.451, -1.595
-1.424, -1.549, -1.424, -1.549, -1.424, -1.572, -1.424, -1.543
-1.395, -1.537, -1.395, -1.526, -1.395, -1.560, -1.395, -1.526
-1.366, -1.532, -1.366, -1.503, -1.366, -1.515, -1.366, -1.515
-1.337, -1.486, -1.337, -1.480, -1.337, -1.469, -1.337, -1.492
-1.307, -1.469, -1.307, -1.469, -1.307, -1.417, -1.307, -1.480
-1.276, -1.434, -1.276, -1.423, -1.276, -1.469, -1.276, -1.371
-1.245, -1.405, -1.245, -1.405, -1.245, -1.400, -1.245, -1.469
-1.214, -1.411, -1.214, -1.383, -1.214, -1.411, -1.214, -1.354
-1.182, -1.360, -1.182, -1.348, -1.182, -1.331, -1.182, -1.377
-1.149, -1.342, -1.149, -1.715, -1.149, -1.308, -1.149, -1.337
-1.116, -1.314, -1.116, -1.044, -1.116, -1.296, -1.116, -1.273
-1.083, -1.308, -1.083, -1.285, -1.083, -1.319, -1.083, -1.296
-1.049, -1.262, -1.049, -1.239, -1.049, -1.262, -1.049, -1.239
-1.015, -1.233, -1.015, -1.216, -1.015, -1.251, -1.015, -1.228
-0.980, -1.251, -0.980, -1.199, -0.980, -1.153, -0.980, -1.216
-0.945, -1.147, -0.945, -1.136, -0.945, -1.182, -0.945, -1.170
-0.910, -1.130, -0.910, -1.113, -0.910, -1.164, -0.910, -1.136
-0.874, -1.136, -0.874, -1.090, -0.874, -1.101, -0.874, -1.090
-0.838, -1.153, -0.838, -1.061, -0.838, -1.084, -0.838, -1.078
