0.000, 0.040, 0.011, 0.000, 0.000
0.000, 0.011, 0.086, 0.000, 0.022
0.000, 0.011, 0.091, 0.000, 0.022
0.000, 0.011, 0.091, 0.005, 0.011
0.000, 0.022, 0.091, 0.005, 0.011
0.000, 0.000, 0.091, 0.005, 0.022
0.000, 0.040, 0.074, 0.005, 0.022
0.000, 0.011, 0.103, 0.000, 0.022
0.000, 0.005, 0.160, 0.005, 0.005
0.000, 0.017, 0.086, 0.005, 0.028
0.000, 0.011, 0.091, 0.011, 0.017
0.000, 0.017, 0.097, 0.000, 0.011
0.000, 0.011, 0.091, 0.000, 0.017
0.000, 0.000, 0.091, 0.011, 0.022
0.000, 0.000, 0.103, 0.005, 0.011
0.000, 0.005, 0.091, 0.000, 0.022
0.000, 0.017, 0.097, 0.022, 0.011
0.000, 0.000, 0.091, 0.011, 0.028
0.000, 0.005, 0.091, 0.011, 0.022
0.000, 0.000, 0.080, 0.028, 0.000
2.000, 0.000, 0.086, 0.000, 0.022
2.000, 0.017, 0.086, 0.005, 0.022
2.000, 0.022, 0.097, 0.005, 0.028
2.000, 0.011, 0.091, 0.000, 0.022
2.000, 0.011, 0.091, 0.000, 0.034
2.000, 0.000, 0.091, 0.000, 0.017
2.000, 0.000, 0.091, 0.005, 0.022
2.000, 0.017, 0.109, 0.000, 0.045
2.000, 0.045, 0.091, 0.000, 0.022
2.000, 0.011, 0.086, 0.028, 0.028
2.000, 0.005, 0.080, 0.011, 0.022
2.000, 0.005, 0.068, 0.000, 0.022
2.000, 0.000, 0.097, 0.000, 0.022
2.000, 0.005, 0.097, 0.000, 0.022
2.000, 0.017, 0.097, 0.005, 0.022
2.000, 0.022, 0.091, 0.000, 0.040
2.000, 0.011, 0.091, 0.011, 0.028
2.000, 0.017, 0.097, 0.005, 0.028
2.000, 0.040, 0.097, 0.005, 0.034
2.000, 0.022, 0.097, 0.000, 0.034
4.000, 0.005, 0.091, 0.005, 0.017
4.000, 0.000, 0.091, 0.000, 0.028
4.000, 0.005, 0.086, 0.000, 0.022
4.000, 0.017, 0.091, 0.000, 0.034
4.000, 0.000, 0.091, 0.011, 0.022
4.000, 0.011, 0.097, 0.005, 0.011
4.000, 0.000, 0.091, 0.000, 0.034
4.000, 0.000, 0.091, 0.000, 0.017
4.000, 0.005, 0.091, 0.000, 0.017
4.000, 0.022, 0.091, 0.005, 0.028
4.000, 0.011, 0.097, 0.011, 0.028
4.000, 0.022, 0.068, 0.000, 0.022
4.000, 0.011, 0.091, 0.011, 0.034
4.000, 0.000, 0.091, 0.005, 0.022
4.000, 0.005, 0.097, 0.000, 0.022
4.000, 0.022, 0.091, 0.000, 0.040
4.000, 0.017, 0.103, 0.011, 0.034
4.000, 0.005, 0.091, 0.000, 0.022
4.000, 0.022, 0.091, 0.011, 0.045
4.000, 0.011, 0.097, 0.022, 0.011
6.000, 0.005, 0.091, 0.011, 0.011
6.000, 0.005, 0.091, 0.000, 0.028
6.000, 0.017, 0.091, 0.000, 0.028
6.000, 0.005, 0.097, 0.005, 0.022
6.000, 0.011, 0.097, 0.017, 0.034
6.000, 0.022, 0.103, 0.000, 0.028
6.000, 0.011, 0.103, 0.000, 0.034
6.000, 0.011, 0.097, 0.000, 0.034
6.000, 0.011, 0.091, 0.000, 0.028
6.000, 0.000, 0.080, 0.005, 0.045
6.000, 0.017, 0.103, 0.000, 0.034
6.000, 0.017, 0.103, 0.000, 0.022
6.000, 0.005, 0.091, 0.005, 0.017
6.000, 0.022, 0.091, 0.005, 0.040
6.000, 0.000, 0.097, 0.000, 0.028
6.000, 0.011, 0.028, 0.005, 0.034
6.000, 0.017, 0.097, 0.000, 0.034
6.000, 0.017, 0.097, 0.000, 0.028
6.000, 0.005, 0.103, 0.000, 0.028
6.000, 0.011, 0.097, 0.000, 0.051
8.000, 0.000, 0.091, 0.011, 0.022
8.000, 0.011, 0.103, 0.005, 0.028
8.000, 0.000, 0.097, 0.000, 0.028
8.000, 0.017, 0.103, 0.011, 0.034
8.000, 0.005, 0.103, 0.005, 0.022
8.000, 0.017, 0.091, 0.000, 0.045
8.000, 0.000, 0.114, 0.011, 0.028
8.000, 0.005, 0.103, 0.000, 0.028
8.000, 0.011, 0.103, 0.011, 0.045
8.000, 0.005, 0.103, 0.000, 0.028
8.000, 0.011, 0.103, 0.005, 0.022
8.000, 0.005, 0.097, 0.000, 0.028
8.000, 0.005, 0.097, 0.005, 0.057
8.000, 0.011, 0.103, 0.011, 0.034
8.000, 0.011, 0.103, 0.011, 0.034
8.000, 0.028, 0.103, 0.000, 0.034
8.000, 0.000, 0.103, 0.017, 0.034
8.000, 0.011, 0.103, 0.000, 0.051
8.000, 0.017, 0.097, 0.005, 0.034
8.000, 0.017, 0.097, 0.000, 0.034
10.000, 0.017, 0.103, 0.028, 0.034
10.000, 0.005, 0.114, 0.000, 0.040
10.000, 0.011, 0.109, 0.000, 0.045
10.000, 0.011, 0.109, 0.005, 0.034
10.000, 0.022, 0.114, 0.005, 0.040
10.000, 0.011, 0.114, 0.000, 0.045
10.000, 0.011, 0.218, 0.005, 0.040
10.000, 0.011, 0.114, 0.000, 0.045
10.000, 0.017, 0.109, 0.017, 0.045
10.000, 0.000, 0.120, 0.000, 0.045
10.000, 0.005, 0.109, 0.000, 0.045
10.000, 0.022, 0.097, 0.005, 0.045
10.000, 0.017, 0.120, 0.000, 0.051
10.000, 0.022, 0.114, 0.000, 0.068
10.000, 0.017, 0.114, 0.011, 0.063
10.000, 0.000, 0.114, 0.000, 0.045
